ds,y
1915-01-01,19.25
1915-01-02,19.25
1915-01-03,19.25
1915-01-04,19.25
1915-01-05,19.25
1915-01-06,19.25
1915-01-07,19.25
1915-01-08,19.25
1915-01-09,19.25
1915-01-10,19.25
1915-01-11,19.25
1915-01-12,19.25
1916-01-01,19.47
1916-01-02,19.47
1916-01-03,19.47
1916-01-04,19.47
1916-01-05,19.47
1916-01-06,19.47
1916-01-07,19.47
1916-01-08,19.47
1916-01-09,19.47
1916-01-10,19.47
1916-01-11,19.47
1916-01-12,19.47
1917-01-01,19.66
1917-01-02,19.66
1917-01-03,19.66
1917-01-04,19.66
1917-01-05,19.66
1917-01-06,19.66
1917-01-07,19.66
1917-01-08,19.66
1917-01-09,19.66
1917-01-10,19.66
1917-01-11,19.66
1917-01-12,19.66
1918-01-01,19.84
1918-01-02,19.84
1918-01-03,19.84
1918-01-04,19.84
1918-01-05,19.84
1918-01-06,19.84
1918-01-07,19.84
1918-01-08,19.84
1918-01-09,19.84
1918-01-10,19.84
1918-01-11,19.84
1918-01-12,19.84
1919-01-01,20.03
1919-01-02,20.03
1919-01-03,20.03
1919-01-04,20.03
1919-01-05,20.03
1919-01-06,20.03
1919-01-07,20.03
1919-01-08,20.03
1919-01-09,20.03
1919-01-10,20.03
1919-01-11,20.03
1919-01-12,20.03
1920-01-01,20.63
1920-01-02,20.63
1920-01-03,20.63
1920-01-04,20.63
1920-01-05,20.63
1920-01-06,20.63
1920-01-07,20.63
1920-01-08,20.63
1920-01-09,20.63
1920-01-10,20.63
1920-01-11,20.63
1920-01-12,20.63
1921-01-01,20.69
1921-01-02,20.69
1921-01-03,20.69
1921-01-04,20.69
1921-01-05,20.69
1921-01-06,20.69
1921-01-07,20.69
1921-01-08,20.69
1921-01-09,20.69
1921-01-10,20.69
1921-01-11,20.69
1921-01-12,20.69
1922-01-01,20.84
1922-01-02,20.84
1922-01-03,20.84
1922-01-04,20.84
1922-01-05,20.84
1922-01-06,20.84
1922-01-07,20.84
1922-01-08,20.84
1922-01-09,20.84
1922-01-10,20.84
1922-01-11,20.84
1922-01-12,20.84
1923-01-01,20.75
1923-01-02,20.75
1923-01-03,20.75
1923-01-04,20.75
1923-01-05,20.75
1923-01-06,20.75
1923-01-07,20.75
